Applicant_ID,Name,Age,Education,Employment_Type,Employment_Years,Dependents,Marital_Status,Annual_Income,Monthly_Expenses,Existing_Loans,Existing_EMI,Savings_Balance,Asset_Value,Credit_Score,Credit_History_Years,Previous_Default,Number_of_Credit_Accounts,Late_Payments,Loan_Amount_Requested,Loan_Term_Months,Loan_Purpose,Monthly_Income,DTI_Ratio,Loan_to_Income,Disposable_Income,Loan_Status,Default_Status
APP_00056,Bradley Harrington,59,Graduate,Self-Employed,5,0,Single,538119,24183,1,12444,162798,1294840,576,23,0,7,1,395845,84,Business,44843.25,27.75,0.736,8216.25,Rejected,1
APP_00057,Nancy Jackson,63,Postgraduate,Salaried,19,3,Single,802474,24483,0,0,387895,1630857,815,15,0,7,0,506326,48,Personal,66872.83,0.0,0.631,42389.83,Approved,0
APP_00058,Paula Padilla,25,High School,Self-Employed,3,1,Single,491261,15063,2,18382,33568,1475467,541,6,0,4,0,584387,48,Home,40938.42,44.9,1.19,7493.42,Rejected,1
APP_00059,Travis Hodge,42,Diploma,Self-Employed,22,1,Single,795942,31106,2,20495,258693,2869789,773,19,0,7,0,671869,60,Vehicle,66328.5,30.9,0.844,14727.5,Approved,0
APP_00060,Michael Baker MD,31,Postgraduate,Salaried,3,2,Married,687114,26728,0,0,287546,1448831,587,7,1,1,2,440119,24,Personal,57259.5,0.0,0.641,30531.5,Rejected,1
APP_00061,Jason Harris,64,High School,Self-Employed,7,1,Married,1535491,68203,1,13693,468254,1334843,701,4,0,7,0,1958652,84,Personal,127957.58,10.7,1.276,46061.58,Approved,0
APP_00062,Jessica Mcdonald,47,Postgraduate,Salaried,7,1,Married,599478,22513,0,0,84648,1536561,713,7,0,7,0,875553,24,Personal,49956.5,0.0,1.461,27443.5,Approved,0
APP_00063,Spencer Lopez,42,Postgraduate,Business Owner,8,1,Single,459088,18897,0,0,258207,1490734,640,18,0,8,5,544603,24,Vehicle,38257.33,0.0,1.186,19360.33,Rejected,0
APP_00064,Nicole Jones,41,High School,Salaried,14,2,Married,585107,19081,1,12160,303626,476680,712,3,0,7,1,488351,84,Vehicle,48758.92,24.94,0.835,17517.92,Rejected,0
APP_00065,Rebecca Pitts,65,High School,Salaried,32,3,Single,451859,12209,3,16944,87346,894267,704,21,0,8,3,168727,84,Personal,37654.92,45.0,0.373,8501.92,Approved,0
APP_00066,David Sosa,56,Postgraduate,Self-Employed,15,1,Single,592767,17665,3,22228,176050,1709310,626,19,1,8,0,326057,48,Personal,49397.25,45.0,0.55,9504.25,Rejected,1
APP_00067,Abigail Rodriguez,36,Graduate,Salaried,13,3,Single,508521,9775,2,14458,51012,991246,746,4,0,2,1,351090,36,Medical,42376.75,34.12,0.69,18143.75,Rejected,0
APP_00068,Angel Palmer,62,Postgraduate,Business Owner,15,3,Married,1188230,30981,2,19723,171715,4530802,693,25,0,2,0,1251467,48,Business,99019.17,19.92,1.053,48315.17,Approved,0
APP_00069,Melanie Wilson,54,High School,Salaried,24,3,Single,575826,19578,3,21593,198806,1467811,673,23,1,3,0,503306,24,Personal,47985.5,45.0,0.874,6814.5,Rejected,1
APP_00070,Kimberly Santos,53,Graduate,Contract,16,4,Married,454629,11638,3,17048,65195,1041573,681,3,0,7,1,604084,120,Vehicle,37885.75,45.0,1.329,9199.75,Approved,0
APP_00071,Michael Brown,35,Graduate,Self-Employed,7,4,Single,746172,14824,3,27981,288689,975202,687,16,1,4,1,741730,60,Business,62181.0,45.0,0.994,19376.0,Rejected,1
APP_00072,Kimberly Hardy DDS,49,Diploma,Contract,27,4,Married,655985,20412,2,15116,232854,1471404,760,5,0,8,2,213883,60,Vehicle,54665.42,27.65,0.326,19137.42,Approved,0
APP_00073,Samuel Palmer,40,Graduate,Salaried,13,3,Single,772447,17046,2,28966,365886,2900691,703,8,1,8,1,985751,48,Home,64370.58,45.0,1.276,18358.58,Rejected,1
APP_00074,Juan White,30,Graduate,Salaried,7,1,Married,628867,21163,3,23582,241185,1439872,648,11,1,6,2,274409,84,Personal,52405.58,45.0,0.436,7660.58,Rejected,0
APP_00075,David Harrington,52,Graduate,Business Owner,11,0,Married,515538,23303,3,19332,201488,1457051,692,22,0,4,0,486122,60,Home,42961.5,45.0,0.943,326.5,Rejected,0
APP_00076,John Matthews,39,Diploma,Salaried,11,0,Married,803390,17140,1,10353,215827,1325175,649,10,0,5,4,975112,36,Personal,66949.17,15.46,1.214,39456.17,Rejected,1
APP_00077,Matthew Bell,32,Graduate,Salaried,1,4,Single,490251,12540,2,7821,114905,825001,543,4,0,2,5,506537,60,Personal,40854.25,19.14,1.033,20493.25,Rejected,1
APP_00078,Bernard Klein,24,High School,Salaried,1,2,Single,664598,27069,0,0,100453,1917952,764,2,0,6,0,635015,36,Business,55383.17,0.0,0.955,28314.17,Approved,0
APP_00079,Curtis Quinn MD,48,Graduate,Contract,27,4,Single,490506,10725,3,18393,314232,611490,714,10,0,2,0,647060,84,Personal,40875.5,45.0,1.319,11757.5,Rejected,0
APP_00080,Jennifer Baker,49,Graduate,Salaried,20,1,Married,362953,13523,1,6331,114325,960359,657,25,0,7,3,120078,60,Vehicle,30246.08,20.93,0.331,10392.08,Rejected,0
APP_00081,Michael Thomas,30,Diploma,Business Owner,9,0,Married,942521,16632,3,20188,177116,2452104,610,1,1,3,2,960873,24,Business,78543.42,25.7,1.019,41723.42,Rejected,1
APP_00082,Matthew Turner,57,Postgraduate,Salaried,2,1,Single,749968,19898,2,25116,43295,2748437,638,7,0,6,3,338500,60,Personal,62497.33,40.19,0.451,17483.33,Rejected,1
APP_00083,Amanda Guzman,26,Postgraduate,Salaried,4,1,Married,613846,25663,2,22674,171106,1098317,695,8,0,6,2,703859,36,Vehicle,51153.83,44.33,1.147,2816.83,Approved,1
APP_00084,Steven Hawkins,41,Graduate,Salaried,13,2,Married,942442,31105,3,33903,157233,2464362,600,10,0,4,5,1082152,120,Vehicle,78536.83,43.17,1.148,13528.83,Rejected,1
APP_00085,Joseph Cantu,56,Diploma,Salaried,8,1,Single,826863,21420,2,17374,329466,4170422,702,23,1,8,0,452205,36,Personal,68905.25,25.21,0.547,30111.25,Rejected,0
APP_00086,Angela Johnson,48,Postgraduate,Salaried,22,2,Married,539080,10447,3,20215,119352,669962,723,6,0,3,2,674201,24,Medical,44923.33,45.0,1.251,14261.33,Approved,1
APP_00087,Andrew Thompson,46,Diploma,Salaried,25,0,Single,579483,17269,1,4098,93666,2154030,796,22,0,1,1,322849,120,Vehicle,48290.25,8.49,0.557,26923.25,Rejected,0
APP_00088,Casey Duffy,43,High School,Salaried,14,4,Single,468819,11969,3,17580,191532,1484965,605,1,0,6,4,418583,36,Personal,39068.25,45.0,0.893,9519.25,Rejected,0
APP_00089,Rebecca Clark,34,Graduate,Salaried,7,1,Married,719883,32423,2,21035,140763,2439440,653,12,0,3,3,306897,84,Home,59990.25,35.06,0.426,6532.25,Approved,1
APP_00090,Dr. Eric Compton,61,Diploma,Self-Employed,3,2,Married,611791,25404,0,0,73588,750569,776,16,0,6,0,822272,84,Education,50982.58,0.0,1.344,25578.58,Approved,0
APP_00091,Andrea Kirby,24,Postgraduate,Salaried,0,4,Married,448323,11928,3,16812,127103,1086047,734,1,0,5,1,173313,48,Personal,37360.25,45.0,0.387,8620.25,Rejected,1
APP_00092,Laura Steele,43,Graduate,Business Owner,17,0,Single,1163900,39904,2,27593,310727,502973,721,13,0,4,0,1325628,84,Personal,96991.67,28.45,1.139,29494.67,Approved,0
APP_00093,David Robles,62,Diploma,Contract,8,4,Single,519820,22003,0,0,259698,1266244,648,14,1,5,2,614125,48,Vehicle,43318.33,0.0,1.181,21315.33,Approved,1
APP_00094,Amanda Huynh,50,Diploma,Salaried,14,3,Married,725539,14515,0,0,10000,1292073,675,20,0,1,0,763081,120,Home,60461.58,0.0,1.052,45946.58,Approved,1
APP_00095,Valerie Martinez,34,Graduate,Contract,8,3,Single,699721,22478,2,23644,289873,561807,644,1,1,7,3,870055,60,Home,58310.08,40.55,1.243,12188.08,Rejected,1
APP_00096,Alexa Gonzalez,65,Diploma,Salaried,29,3,Single,589628,16435,2,22111,165009,1952145,745,25,0,6,2,384282,120,Personal,49135.67,45.0,0.652,10589.67,Rejected,0
APP_00097,Susan Zimmerman,39,High School,Self-Employed,2,2,Single,859106,16855,4,32216,428652,3448998,832,4,0,1,0,578350,36,Vehicle,71592.17,45.0,0.673,22521.17,Approved,0
APP_00098,Christopher Allen,57,Postgraduate,Salaried,22,3,Married,643520,20961,4,24132,44435,652351,727,5,0,1,1,186906,84,Personal,53626.67,45.0,0.29,8533.67,Approved,0
APP_00099,Robin King,41,Graduate,Salaried,11,2,Married,823055,17059,2,20330,21639,1628083,729,17,0,3,3,1241869,12,Personal,68587.92,29.64,1.509,31198.92,Approved,1
APP_00100,Keith Gomez,47,Postgraduate,Self-Employed,12,3,Single,817855,31422,3,27059,321609,1742349,716,12,0,4,3,724057,24,Personal,68154.58,39.7,0.885,9673.58,Rejected,0
APP_00101,Stephanie Ortega,37,Postgraduate,Contract,17,3,Married,562204,25046,0,0,294475,627056,757,8,0,3,0,568334,60,Education,46850.33,0.0,1.011,21804.33,Approved,0
APP_00102,Gloria Andrews,62,Graduate,Self-Employed,11,1,Single,986881,37548,0,0,277748,2115407,647,13,1,8,6,1231363,12,Business,82240.08,0.0,1.248,44692.08,Rejected,1
APP_00103,Michelle White,24,Graduate,Salaried,2,2,Married,960521,16179,2,19791,384985,1956322,674,2,0,2,0,140570,24,Vehicle,80043.42,24.73,0.146,44073.42,Approved,0
APP_00104,Kathy Arellano,59,Diploma,Self-Employed,12,4,Single,701543,20206,0,0,10000,1882835,816,20,0,4,0,538382,48,Education,58461.92,0.0,0.767,38255.92,Approved,0
APP_00105,Kyle Reeves,28,Diploma,Salaried,1,1,Married,476426,13532,0,0,209809,1191163,689,10,1,2,0,328213,120,Personal,39702.17,0.0,0.689,26170.17,Rejected,0
APP_00106,William Underwood,24,Graduate,Business Owner,4,2,Married,581462,16090,3,21804,10000,1375576,789,2,0,7,0,382777,60,Personal,48455.17,45.0,0.658,10561.17,Approved,0
APP_00107,Crystal Chavez,40,Graduate,Self-Employed,9,0,Single,750131,21969,1,10935,292686,821720,590,7,0,1,1,1060496,48,Personal,62510.92,17.49,1.414,29606.92,Rejected,1
APP_00108,Megan Burgess,54,Graduate,Contract,17,2,Single,339221,12033,4,12720,60642,900400,697,17,0,6,2,426049,120,Personal,28268.42,45.0,1.256,3515.42,Approved,0
APP_00109,Lisa Henry,30,High School,Self-Employed,5,0,Married,978505,41356,1,6259,154342,3827790,651,7,0,4,0,1538352,48,Education,81542.08,7.68,1.572,33927.08,Approved,0
APP_00110,Raymond Carpenter,32,High School,Salaried,3,4,Married,928823,38427,0,0,454463,2488984,581,13,0,6,1,642956,60,Business,77401.92,0.0,0.692,38974.92,Approved,1
APP_00111,Robert Espinoza,46,Postgraduate,Salaried,23,3,Married,423170,9469,1,14704,87827,1600278,729,13,0,3,0,249795,48,Business,35264.17,41.7,0.59,11091.17,Rejected,1
APP_00112,Kimberly Arroyo,61,Graduate,Self-Employed,4,3,Married,291072,8651,0,0,88974,897832,690,21,0,6,0,282071,84,Education,24256.0,0.0,0.969,15605.0,Approved,0
APP_00113,Nancy Chapman,28,Diploma,Salaried,0,0,Married,730615,17333,0,0,259853,1861578,713,5,0,1,3,811490,84,Home,60884.58,0.0,1.111,43551.58,Approved,0
APP_00114,Austin Kelly,21,Graduate,Business Owner,1,1,Married,883183,27571,0,0,326350,2690636,752,3,0,3,0,530016,24,Business,73598.58,0.0,0.6,46027.58,Approved,0
APP_00115,Laura Jackson,65,High School,Salaried,26,1,Married,408059,15778,2,15302,24283,324530,660,17,0,2,4,223868,60,Vehicle,34004.92,45.0,0.549,2924.92,Approved,1
APP_00116,Megan Murphy,61,Diploma,Contract,21,1,Married,356909,8289,3,13384,10000,1495018,754,13,0,4,0,463993,24,Medical,29742.42,45.0,1.3,8069.42,Approved,0
APP_00117,Bailey Bird,49,Diploma,Salaried,15,3,Married,396964,16798,0,0,63637,1494819,664,8,0,7,0,337819,24,Personal,33080.33,0.0,0.851,16282.33,Approved,0
APP_00118,Brent Bauer,61,High School,Salaried,5,4,Married,769909,17335,4,28871,371562,2556525,672,18,0,6,0,612670,36,Personal,64159.08,45.0,0.796,17953.08,Approved,0
APP_00119,Eric Hall,28,Graduate,Salaried,1,0,Single,591540,16099,3,22182,381578,1251715,707,1,0,7,1,464569,12,Vehicle,49295.0,45.0,0.785,11014.0,Approved,1
APP_00120,Cassandra Davis,61,Diploma,Salaried,5,3,Married,819602,34135,0,0,302159,3421422,689,3,0,2,0,706117,48,Business,68300.17,0.0,0.862,34165.17,Approved,0
APP_00121,April Wallace,53,Postgraduate,Salaried,0,4,Married,607170,24286,2,17613,206652,1773267,668,25,0,4,1,913600,24,Personal,50597.5,34.81,1.505,8698.5,Rejected,1
APP_00122,Michele Miller,38,Diploma,Salaried,0,0,Single,697025,19559,4,19680,314609,1613313,589,1,0,6,0,549631,84,Vehicle,58085.42,33.88,0.789,18846.42,Rejected,1
APP_00123,Monica Rogers,35,High School,Business Owner,15,4,Single,612684,17931,0,0,95840,1514989,671,10,0,1,0,562352,48,Personal,51057.0,0.0,0.918,33126.0,Approved,0
APP_00124,Julia Yang,45,Graduate,Self-Employed,23,1,Married,587494,12258,2,20474,168900,1577828,703,20,0,3,1,600795,24,Education,48957.83,41.82,1.023,16225.83,Rejected,0
APP_00125,John Harris,56,Diploma,Salaried,3,0,Single,1037959,23750,2,25907,159187,3000423,597,2,1,6,4,802517,12,Vehicle,86496.58,29.95,0.773,36839.58,Rejected,1
APP_00126,Lisa Perry,26,Postgraduate,Salaried,1,2,Married,912639,17676,2,14658,321752,2553432,693,3,0,2,4,1156519,36,Education,76053.25,19.27,1.267,43719.25,Rejected,0
APP_00127,John Gomez DDS,52,Postgraduate,Salaried,32,0,Single,474839,10896,0,0,10000,911665,706,16,0,7,2,488947,36,Business,39569.92,0.0,1.03,28673.92,Approved,0
APP_00128,Daniel Nguyen,26,Graduate,Salaried,3,3,Married,514487,21477,1,15855,121902,1987266,713,6,0,2,1,801412,36,Personal,42873.92,36.98,1.558,5541.92,Approved,1
APP_00129,Matthew Rogers,24,Graduate,Salaried,2,3,Single,826206,14047,0,0,123123,1487800,655,5,0,5,2,1192728,24,Medical,68850.5,0.0,1.444,54803.5,Approved,0
APP_00130,Benjamin Chavez,43,Diploma,Self-Employed,19,0,Married,543647,12486,4,20386,220799,1364031,764,3,0,7,0,565508,24,Business,45303.92,45.0,1.04,12431.92,Approved,0
APP_00131,Melissa Padilla,57,Graduate,Self-Employed,22,4,Single,778026,16628,0,0,437013,1176166,565,10,0,3,1,747174,48,Vehicle,64835.5,0.0,0.96,48207.5,Approved,0
APP_00132,Diana James,48,Graduate,Contract,8,0,Married,365133,11846,1,13692,61983,1108043,505,22,0,1,4,414958,60,Personal,30427.75,45.0,1.136,4889.75,Rejected,1
APP_00133,Shari Gould,33,Graduate,Business Owner,6,1,Married,845113,33626,0,0,247169,1346628,809,13,0,5,0,1128432,12,Personal,70426.08,0.0,1.335,36800.08,Approved,0
APP_00134,Amy Mcguire,27,Graduate,Salaried,1,0,Married,600518,18176,4,22519,59617,1448930,736,4,0,1,4,801167,60,Vehicle,50043.17,45.0,1.334,9348.17,Approved,0
APP_00135,Angela Daniel,24,Graduate,Self-Employed,1,2,Married,1027529,42369,0,0,245897,2844748,795,1,0,4,1,1157041,60,Personal,85627.42,0.0,1.126,43258.42,Approved,0
APP_00136,Samuel Stephens,48,Diploma,Business Owner,28,1,Married,628696,24390,2,20957,206586,2163538,617,10,0,5,4,365986,36,Education,52391.33,40.0,0.582,7044.33,Rejected,1
APP_00137,Cheryl Fisher,32,Graduate,Salaried,0,0,Single,680931,17793,4,25534,260788,663274,733,7,0,5,2,1075737,120,Business,56744.25,45.0,1.58,13417.25,Approved,1
APP_00138,David Castillo,41,Postgraduate,Business Owner,13,1,Married,429468,12531,2,16105,251028,763114,706,1,0,6,2,618979,36,Medical,35789.0,45.0,1.441,7153.0,Rejected,1
APP_00139,Dawn Short,55,Graduate,Salaried,12,0,Married,615652,11701,4,23086,181289,1922108,783,4,0,8,0,690200,24,Personal,51304.33,45.0,1.121,16517.33,Approved,0
APP_00140,Peter Snyder,40,Graduate,Business Owner,10,1,Single,777749,24932,2,22822,198205,0,681,6,0,1,1,994303,60,Medical,64812.42,35.21,1.278,17058.42,Approved,0
APP_00141,Henry Taylor,61,Graduate,Contract,9,2,Married,446742,10105,1,10086,219685,1401595,685,18,1,4,1,536893,36,Home,37228.5,27.09,1.202,17037.5,Approved,1
APP_00142,Kathleen Johnson,57,Postgraduate,Self-Employed,25,2,Married,675848,18260,3,25344,219412,1617697,592,14,0,6,3,985909,36,Personal,56320.67,45.0,1.459,12716.67,Rejected,1
